food_category,food_department,food_family,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,promotion_name,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,brand_name,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,store_type,store_city,store_state,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,media_type,cost
Jams and Jellies,Baking Goods,Food,10.86,4.6698,3.0,Two for One,S,M,1.0,Graduate Degree,Bronze,Management,Y,3.0,$90K - $110K,0.0,Super,3.62,18.7,17.7,1.0,1.0,6.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Product Attachment,59.83
Meat,Frozen Foods,Food,11.79,5.0697,3.0,Two for One,S,M,4.0,Bachelors Degree,Bronze,Professional,Y,3.0,$50K - $70K,0.0,PigTail,3.93,8.35,5.35,0.0,0.0,27.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Daily Paper,68.97
Snack Foods,Snack Foods,Food,2.84,1.2212,2.0,Super Savers,S,F,4.0,High School Degree,Silver,Manual,Y,2.0,$30K - $50K,0.0,Nationeel,1.42,7.31,5.3,1.0,1.0,8.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Cash Register Handout,71.51
Canned Oysters,Canned Foods,Food,4.02,1.608,3.0,Super Savers,M,F,2.0,Partial High School,Normal,Manual,Y,0.0,$10K - $30K,2.0,Just Right,1.34,14.8,12.8,0.0,1.0,36.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,In-Store Coupon,134.66
Snack Foods,Snack Foods,Food,2.58,1.1352,3.0,Best Savings,S,M,1.0,Bachelors Degree,Bronze,Management,N,3.0,$70K - $90K,0.0,Best Choice,0.86,14.7,12.6,1.0,1.0,26.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Daily Paper, Radio, TV",53.82
Bread,Baked Goods,Food,11.79,4.8339,3.0,Shelf Clearing Days,S,M,1.0,Partial High School,Normal,Skilled Manual,Y,2.0,$10K - $30K,0.0,Modell,3.93,15.5,13.5,1.0,1.0,23.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Sunday Paper,106.1
Canned Soup,Canned Foods,Food,9.63,3.5631,3.0,Sale Winners,M,M,4.0,Bachelors Degree,Golden,Management,Y,3.0,$50K - $70K,4.0,Bravo,3.21,15.8,14.8,1.0,1.0,1.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,137.7
Vegetables,Produce,Food,10.35,4.0365,3.0,Price Smashers,S,F,5.0,High School Degree,Normal,Manual,N,1.0,$10K - $30K,0.0,High Top,3.45,8.51,6.51,1.0,0.0,4.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Product Attachment,138.23
Vegetables,Canned Foods,Food,1.8,0.648,3.0,Big Promo,M,F,5.0,Partial High School,Normal,Manual,N,0.0,$10K - $30K,5.0,Better,0.6,8.6,7.6,0.0,1.0,26.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Sunday Paper,51.12
Seafood,Seafood,Food,9.0,3.96,4.0,Unbeatable Price Savers,S,F,2.0,Partial High School,Bronze,Manual,N,2.0,$30K - $50K,0.0,Kiwi,2.25,18.4,16.3,1.0,1.0,31.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",137.77
Meat,Deli,Food,11.55,4.389,3.0,Cash Register Lottery,S,M,1.0,Partial College,Silver,Management,Y,2.0,$110K - $130K,0.0,Moms,3.85,16.2,14.2,1.0,0.0,34.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",59.86
Vegetables,Frozen Foods,Food,2.52,1.134,4.0,Super Savers,M,M,1.0,Partial High School,Normal,Manual,Y,0.0,$10K - $30K,1.0,Carrington,0.63,17.2,15.2,1.0,0.0,26.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio",64.99
Snack Foods,Snack Foods,Food,5.04,1.6632,3.0,Price Destroyers,M,F,5.0,High School Degree,Silver,Professional,Y,3.0,$130K - $150K,5.0,Fast,1.68,10.5,9.5,1.0,0.0,34.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",62.26
Snack Foods,Snack Foods,Food,5.34,2.403,3.0,Dollar Cutters,M,M,1.0,High School Degree,Golden,Skilled Manual,Y,2.0,$30K - $50K,1.0,Fort West,1.78,19.0,18.0,1.0,0.0,31.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Bulk Mail,141.26
Meat,Frozen Foods,Food,11.24,3.4844,4.0,Sales Days,M,F,2.0,High School Degree,Bronze,Skilled Manual,Y,4.0,$30K - $50K,0.0,Golden,2.81,14.6,11.6,0.0,0.0,3.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Bulk Mail,116.74
Breakfast Foods,Breakfast Foods,Food,7.0,2.73,2.0,I Cant Believe It Sale,S,M,3.0,High School Degree,Bronze,Manual,Y,2.0,$30K - $50K,0.0,Best,3.5,15.4,12.3,0.0,1.0,19.0,Small Grocery,San Francisco,CA,22478.0,15321.0,4294.0,2863.0,1.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",115.85
Pure Juice Beverages,Beverages,Drink,2.34,0.936,3.0,Two Day Sale,S,M,1.0,High School Degree,Bronze,Skilled Manual,N,3.0,$30K - $50K,0.0,Token,0.78,19.7,17.7,1.0,0.0,7.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,91.28
Electrical,Household,Non-Consumable,7.71,3.1611,3.0,Super Duper Savers,S,F,1.0,High School Degree,Normal,Professional,N,1.0,$70K - $90K,0.0,Cormorant,2.57,12.0,9.0,1.0,0.0,31.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Cash Register Handout,129.5
Kitchen Products,Household,Non-Consumable,2.16,1.0368,3.0,Bag Stuffers,S,F,1.0,Partial High School,Normal,Manual,N,1.0,$10K - $30K,0.0,High Quality,0.72,20.9,18.8,1.0,0.0,11.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Frozen Entrees,Frozen Foods,Food,8.56,2.996,4.0,Price Destroyers,M,F,4.0,Partial High School,Normal,Manual,N,1.0,$10K - $30K,4.0,PigTail,2.14,14.5,13.5,1.0,1.0,35.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Radio,112.49
Cold Remedies,Health and Hygiene,Non-Consumable,2.12,0.8056,4.0,Go For It,S,M,1.0,High School Degree,Bronze,Management,N,2.0,$70K - $90K,0.0,Faux Products,0.53,14.5,12.5,0.0,0.0,26.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Radio,105.74
Starchy Foods,Starchy Foods,Food,2.92,0.9344,2.0,Cash Register Lottery,S,M,0.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Colossal,1.46,15.0,12.0,1.0,1.0,31.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,In-Store Coupon,95.78
Jams and Jellies,Baking Goods,Food,7.56,2.7972,2.0,Free For All,S,M,2.0,Partial College,Bronze,Professional,N,1.0,$90K - $110K,0.0,Landslide,3.78,16.7,14.7,1.0,0.0,24.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Daily Paper,52.06
Snack Foods,Snack Foods,Food,9.04,3.7064,4.0,Unbeatable Price Savers,M,F,1.0,Bachelors Degree,Bronze,Professional,Y,2.0,$50K - $70K,1.0,Nationeel,2.26,13.9,12.8,0.0,0.0,23.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Product Attachment,124.36
Snack Foods,Snack Foods,Food,7.38,2.952,3.0,Weekend Markdown,S,M,0.0,Bachelors Degree,Normal,Professional,Y,2.0,$50K - $70K,0.0,Best Choice,2.46,18.6,16.6,1.0,0.0,1.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Daily Paper,140.57
Side Dishes,Deli,Food,3.1,1.395,2.0,Big Promo,S,M,1.0,Partial High School,Normal,Skilled Manual,N,2.0,$50K - $70K,0.0,American,1.55,20.7,18.7,1.0,1.0,4.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Sunday Paper,51.12
Hot Beverages,Beverages,Drink,2.36,0.8732,4.0,Three for One,S,F,4.0,High School Degree,Golden,Management,Y,2.0,$70K - $90K,0.0,Plato,0.59,17.3,16.2,0.0,1.0,23.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Sunday Paper,118.25
Vegetables,Produce,Food,5.88,2.058,3.0,You Save Days,S,M,2.0,Partial High School,Normal,Skilled Manual,Y,1.0,$10K - $30K,0.0,Tri-State,1.96,8.17,6.17,0.0,1.0,7.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Bulk Mail,131.81
Fruit,Produce,Food,8.4,3.864,3.0,You Save Days,M,F,3.0,Graduate Degree,Bronze,Professional,Y,3.0,$70K - $90K,1.0,Tell Tale,2.8,7.28,6.28,1.0,0.0,21.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,TV,108.22
Eggs,Eggs,Food,7.16,3.4368,4.0,Super Savers,M,F,4.0,High School Degree,Bronze,Professional,Y,1.0,$110K - $130K,1.0,Urban,1.79,14.1,12.1,0.0,0.0,27.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Cash Register Handout,71.51
Snack Foods,Snack Foods,Food,6.58,2.4346,2.0,Two for One,S,M,2.0,Partial College,Bronze,Management,N,2.0,$30K - $50K,0.0,Fort West,3.29,12.1,10.1,0.0,0.0,16.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",57.52
Beer and Wine,Alcoholic Beverages,Drink,2.49,1.1703,3.0,Dollar Cutters,S,M,2.0,Partial High School,Bronze,Management,Y,2.0,$90K - $110K,0.0,Walrus,0.83,15.7,13.6,0.0,0.0,35.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,"Sunday Paper, Radio",136.74
Bathroom Products,Health and Hygiene,Non-Consumable,2.86,1.0868,2.0,Cash Register Lottery,M,F,3.0,High School Degree,Golden,Manual,N,3.0,$30K - $50K,3.0,Bird Call,1.43,18.9,16.8,1.0,0.0,35.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",59.86
Snack Foods,Snack Foods,Food,2.31,0.9471,3.0,Two Day Sale,S,M,2.0,Partial College,Bronze,Management,Y,1.0,$130K - $150K,0.0,Fast,0.77,15.7,13.6,1.0,1.0,9.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Sunday Paper,126.88
Eggs,Eggs,Food,3.51,1.4391,3.0,Weekend Markdown,S,F,0.0,Partial High School,Normal,Manual,N,1.0,$10K - $30K,0.0,National,1.17,17.0,15.0,0.0,1.0,34.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Street Handout,117.4
Starchy Foods,Starchy Foods,Food,5.46,2.73,2.0,Shelf Clearing Days,M,F,2.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,2.0,Discover,2.73,14.5,13.5,1.0,0.0,27.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",76.41
Pure Juice Beverages,Beverages,Drink,7.77,3.4965,3.0,Price Savers,S,F,5.0,Partial College,Bronze,Clerical,N,4.0,$50K - $70K,0.0,Washington,2.59,8.97,6.97,1.0,0.0,27.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Cash Register Handout,128.2
Snack Foods,Snack Foods,Food,7.23,3.1089,3.0,Shelf Emptiers,M,F,1.0,Partial College,Bronze,Skilled Manual,Y,2.0,$30K - $50K,0.0,Fort West,2.41,9.79,8.78,1.0,1.0,19.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Street Handout,137.34
Specialty,Produce,Food,14.72,6.624,4.0,Super Savers,M,F,4.0,High School Degree,Bronze,Professional,Y,1.0,$110K - $130K,1.0,Tell Tale,3.68,11.5,8.5,1.0,0.0,3.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Cash Register Handout,71.51
Snack Foods,Snack Foods,Food,17.3,8.65,5.0,Sales Galore,M,M,5.0,Bachelors Degree,Silver,Professional,N,3.0,$110K - $130K,5.0,Nationeel,3.46,11.2,10.1,0.0,1.0,26.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Product Attachment,149.08
Vegetables,Produce,Food,5.31,2.4957,3.0,Best Savings,M,M,3.0,Bachelors Degree,Golden,Professional,Y,4.0,$50K - $70K,3.0,Tell Tale,1.77,20.3,19.2,0.0,0.0,12.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",53.82
Baking Goods,Baking Goods,Food,1.59,0.636,3.0,Super Wallet Savers,M,M,4.0,Partial High School,Normal,Manual,Y,1.0,$10K - $30K,4.0,BBB Best,0.53,12.8,11.8,1.0,0.0,28.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,140.19
Snack Foods,Snack Foods,Food,5.37,2.6313,3.0,Big Promo,M,M,2.0,Bachelors Degree,Bronze,Professional,Y,4.0,$50K - $70K,2.0,Horatio,1.79,18.6,16.6,1.0,1.0,27.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Sunday Paper,51.12
Bathroom Products,Health and Hygiene,Non-Consumable,2.88,0.9504,3.0,Dollar Days,M,F,5.0,Bachelors Degree,Bronze,Professional,N,2.0,$70K - $90K,2.0,Steady,0.96,19.9,18.8,0.0,0.0,11.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Sunday Paper,143.04
Pizza,Frozen Foods,Food,4.35,1.7835,3.0,Super Duper Savers,S,F,3.0,High School Degree,Bronze,Skilled Manual,Y,1.0,$30K - $50K,0.0,PigTail,1.45,18.7,16.7,0.0,0.0,14.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio",80.0
Hygiene,Health and Hygiene,Non-Consumable,6.39,3.0672,3.0,Dollar Cutters,S,F,5.0,High School Degree,Golden,Skilled Manual,Y,4.0,$30K - $50K,0.0,Consolidated,2.13,10.1,7.1,0.0,0.0,23.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio, TV",135.5
Snack Foods,Snack Foods,Food,3.28,1.0824,4.0,Price Savers,M,F,4.0,Partial High School,Silver,Skilled Manual,Y,1.0,$10K - $30K,1.0,Best Choice,0.82,8.71,6.71,0.0,1.0,11.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Street Handout,115.13
